ticket_id,user_id,created_at,category,status,priority
3e327bfe-f886-42c8-ad2a-f1b08b990c1c,62a2261a-0f99-47e2-872d-912df863ed4c,2025-10-19 05:06:42,Produktanfrage,solved,high
71dbd894-fa32-4125-a815-afc72e6dc2c6,29940475-891c-4680-92b7-07817375cbe2,2025-09-17 22:13:56,Produktanfrage,solved,low
f27c680f-5c97-4c24-8776-253c57b3ee51,02f90cf1-335b-42c7-a72b-476b52e0daa2,2025-09-28 18:46:12,Produktanfrage,closed,high
bb65533a-b156-4469-be5b-8494680bf798,bad6246e-7f07-4fcd-b987-42a61cdce7bb,2025-09-20 21:36:57,Produktanfrage,solved,normal
26022830-2206-4072-a74f-abf7dfea5c09,2e06f79a-4041-4a45-b76c-be53351d46f3,2025-10-12 04:28:44,Produktanfrage,solved,high
11dde283-7860-43b5-97a2-f9bc08b3a7c9,43c4e0f8-a7b1-4243-9188-1a8bb25e1543,2025-09-18 03:50:18,Produktanfrage,solved,normal
b0f8e273-7583-42c8-ba67-a364bb8bb8b3,39677406-aa79-41e6-9914-3bb282f64e79,2025-09-24 07:07:55,Produktanfrage,closed,high
35d1c343-213b-4679-b39e-e6ca62ed1064,75ec885e-4a8d-42ef-8401-039f8d456ca5,2025-09-20 19:30:59,Produktanfrage,open,normal
7159735c-4ad7-455c-81b1-5f535ad64cd5,35699255-ed28-495f-b5b2-d4f33d0f4639,2025-09-29 13:56:59,Produktanfrage,solved,high
a37ddb30-5adb-44d0-8f3c-b0f268a4685e,8466e74c-7be7-47d5-a1b9-3d020b0682d0,2025-10-17 02:57:47,Produktanfrage,solved,normal
b01ed304-693e-44e7-b149-c6efd5462c7a,dcb949d7-4718-4ba3-a467-05dfc4c17f46,2025-09-13 10:41:25,Produktanfrage,open,high
45140512-2180-4b25-b38b-70e5883f9321,456ff81a-c378-4f6d-a9d2-2a0b445a2c23,2025-10-01 19:55:54,Produktanfrage,solved,high
12418c0f-b01d-44d1-b659-03062c69a9f5,279af481-ea34-4f5a-9f98-3bb465449104,2025-10-06 19:58:59,Produktanfrage,closed,high
bae0c01f-eaf4-4d5d-95c6-c5cd7a2b10d4,57941d6a-7621-42b8-afaa-17fc52e32efd,2025-10-18 02:05:29,Produktanfrage,open,normal
10c37b51-8bcc-471f-aa2e-29ccd50684aa,cf3573f8-671e-463d-bdd6-f5f6af8eccaf,2025-10-15 03:53:42,Produktanfrage,closed,high
77a5b1a1-d47d-4154-a3be-3d6798696378,82c4f642-4745-4d2d-82f1-5493551da4df,2025-09-13 07:03:02,Produktanfrage,open,normal
d3c64e64-9729-458c-9d93-bdfea27baf53,e966beb2-d773-40b5-80e9-56ac5e5f0a0a,2025-09-12 20:24:31,Produktanfrage,closed,normal
f83fbd04-aaa5-4be4-b69f-e2e51c7ee331,301f3901-2976-40fa-8c0f-09f2c420effe,2025-10-02 17:40:08,Produktanfrage,solved,high
22277939-f9f7-4db4-9419-7a956beca6ac,c16245d5-12ae-4398-b05c-99351adc7305,2025-09-19 14:42:34,Produktanfrage,solved,high
954c3ee3-ba0e-4279-87e2-bb4a925e211e,7d0d796d-7eff-42cc-89b3-ead797c6dbac,2025-10-13 10:25:12,Produktanfrage,open,low
e7959f3a-eec5-4534-9659-758837fc3933,51937023-ece0-4bea-b0f6-cdbfba334b31,2025-09-12 03:40:06,Produktanfrage,open,low
60791c47-dfc5-4533-8818-fa6f85dbbe3f,2bb098d2-60cf-4fc9-8df3-2eb1809f8092,2025-09-17 05:22:00,Produktanfrage,solved,low
2931ae62-ddee-4736-b5bd-30c6402259b8,0c92af56-0ada-4ab0-b5fd-de3dd8fcdf19,2025-10-19 16:42:56,Produktanfrage,solved,low
c8166bb0-d823-4254-b411-2774eda0d4da,2f00a1cd-a823-4abc-bb1e-291e1bda3acb,2025-10-08 17:00:16,Produktanfrage,solved,normal
9c937980-28a0-4a5e-9ac8-7babeb29155e,4b857ec0-1a2c-4a42-9c7b-f04eab279b8c,2025-09-17 13:01:46,Produktanfrage,open,high
343f5bed-4116-43bf-b0f6-79fdde2a9c8a,82511671-510a-4c46-8dd7-6e2e46508c0f,2025-09-12 01:27:30,Produktanfrage,solved,low
ec6a28db-e350-490c-be79-838f688091ec,3b75509d-492f-4060-a188-0741177abc4b,2025-09-07 08:56:36,Produktanfrage,solved,low
14b5e3db-ee18-4cb9-bd6c-6e10e11a529a,b913bab1-5375-445b-8cc2-3cd337d83ed1,2025-09-28 13:11:07,Produktanfrage,solved,high
75baf477-7272-4663-bb07-57a91ebd8924,5f29c973-0ae9-410b-b521-4ba1eeb6bea8,2025-09-07 14:18:23,Produktanfrage,solved,low
70bf4e5f-5a1a-4d13-8e74-2371a4ff6dd6,0962bcaa-d4dd-4368-a805-0fd4d1ff09ac,2025-09-24 02:47:40,Produktanfrage,solved,low
442669af-16f8-4c7d-84a9-1adbdb508024,a93b1879-22fc-4a91-88d1-24ce540572cd,2025-09-18 20:41:31,Produktanfrage,solved,low
