session_id,error_timestamp,error_code,error_message,endpoint
7065fb7d-6e74-491c-87c5-5f00bac01d45,2025-11-15 11:15:07,500,Internal Server Error,/api/pdf/download
89ec0f55-b1ad-4baf-9973-642b9d588c50,2025-11-05 07:43:01,500,Internal Server Error,/api/pdf/download
40230f3f-150e-4748-a5e2-0964baec1ff8,2025-10-11 01:09:57,500,Internal Server Error,/api/pdf/download
20e34970-3154-48c5-9f87-05a4fc361306,2025-09-26 09:27:34,500,Internal Server Error,/api/pdf/download
3a7b5e2d-fded-4f13-a5bd-60244172fd63,2025-09-21 12:20:32,500,Internal Server Error,/api/pdf/download
0169a861-431e-4b19-825c-707c546ac36e,2025-11-27 18:43:22,500,Internal Server Error,/api/pdf/download
a2477b1b-a5a4-4cb8-9f2f-98ed8c405276,2025-12-06 21:20:21,500,Internal Server Error,/api/pdf/download
865430de-ebad-4c79-b058-03b4f5b8feb7,2025-11-08 15:03:53,500,Internal Server Error,/api/pdf/download
a9f9b3a2-d3a0-444b-a05c-f8eb1f9b0573,2025-11-05 13:27:25,500,Internal Server Error,/api/pdf/download
646b9083-27d5-42d4-aa78-db73a7062e5e,2025-12-06 19:24:59,500,Internal Server Error,/api/pdf/download
59ce24c2-cc40-40b7-bd74-8f43105da4b7,2025-11-23 23:03:46,500,Internal Server Error,/api/pdf/download
c37567c1-2789-473e-9369-052e1f4ddcd9,2025-11-06 22:17:46,500,Internal Server Error,/api/pdf/download
a7c4e6d1-8d5b-4d7e-b652-b99219273ed9,2025-10-28 11:45:48,500,Internal Server Error,/api/pdf/download
ea9f7fcf-fc30-4b34-be1d-249f62413711,2025-11-04 23:32:41,500,Internal Server Error,/api/pdf/download
87d7f7c6-551b-4410-89c6-7781a9ca2707,2025-11-25 04:30:09,500,Internal Server Error,/api/pdf/download
be389e21-bc72-4485-b857-1c88a390164e,2025-09-08 12:12:56,500,Internal Server Error,/api/pdf/download
d94b9012-880f-4395-b4d6-66b06915addc,2025-10-13 18:01:26,500,Internal Server Error,/api/pdf/download
a2ccec1e-88cb-44be-9568-0ba91bbba9ae,2025-12-09 16:04:03,500,Internal Server Error,/api/pdf/download
db75e40f-6cad-4628-8f78-7148818831de,2025-10-08 09:59:29,500,Internal Server Error,/api/pdf/download
866cc8d8-9365-4a9c-b866-ddfb93f7825b,2025-12-15 23:36:05,500,Internal Server Error,/api/pdf/download
90546e14-ac89-4ae6-99c1-82cd135c0eb5,2025-10-16 20:32:21,500,Internal Server Error,/api/pdf/download
1fc6cedb-e647-48a4-86fc-8228252fbdb9,2025-10-04 03:18:52,500,Internal Server Error,/api/pdf/download
1ee5dda6-0be7-49a5-b074-7119f9b10edb,2025-11-16 18:30:43,500,Internal Server Error,/api/pdf/download
526a5c6a-6afd-45f6-b526-1e787545f420,2025-09-30 18:23:41,500,Internal Server Error,/api/pdf/download
c6fdb481-c525-4f33-bdc0-658a90b93f2e,2025-09-15 15:17:59,500,Internal Server Error,/api/pdf/download
c22f26f9-e18c-4cdf-a5d5-249cc4efbb23,2025-10-14 01:02:42,500,Internal Server Error,/api/pdf/download
40c3e526-995c-4b15-ab62-a89bd687fefb,2025-11-24 07:19:24,500,Internal Server Error,/api/pdf/download
9669cad3-1641-4985-b44b-3c447d69cf4f,2025-11-16 09:38:31,500,Internal Server Error,/api/pdf/download
88638b25-4d8b-4fda-b744-d602648c0828,2025-12-01 17:07:17,500,Internal Server Error,/api/pdf/download
dc9a2a13-38e2-4824-934e-236d9ef0f6e8,2025-10-31 17:12:52,500,Internal Server Error,/api/pdf/download
36bca970-ded4-4d50-8fb6-91fa001a2d5d,2025-10-22 03:22:51,500,Internal Server Error,/api/pdf/download
4ee8be69-a5ec-42d6-a3bd-43aa90f5e092,2025-10-20 15:19:43,500,Internal Server Error,/api/pdf/download
5db22d02-08da-49bd-b746-7cf63c486dbd,2025-12-05 03:07:44,500,Internal Server Error,/api/pdf/download
1a12391f-37a7-462e-8478-79439cda67f4,2025-10-14 04:15:21,500,Internal Server Error,/api/pdf/download
37f069e0-c1cd-423e-8bc4-b8619a26b1c4,2025-09-12 17:45:42,500,Internal Server Error,/api/pdf/download
5b182b4c-6bac-48da-950f-c782b7d20444,2025-10-13 06:07:35,500,Internal Server Error,/api/pdf/download
f87c8c47-ed1f-4e54-a0da-7371d0d14b4a,2025-09-04 09:06:16,500,Internal Server Error,/api/pdf/download
2783073c-3f9e-4cd9-9265-5db6fcc9ba74,2025-10-07 18:56:49,500,Internal Server Error,/api/pdf/download
4ddd3396-0a10-4244-b24f-b7a4bc686ec0,2025-10-28 12:29:05,500,Internal Server Error,/api/pdf/download
6ee7e648-9882-49b0-9ec8-c06db2879536,2025-11-14 01:45:24,500,Internal Server Error,/api/pdf/download
0b780a20-3fbc-4822-8ff0-32b9d2f92099,2025-10-12 08:44:09,500,Internal Server Error,/api/pdf/download
df3d4ab9-ee8d-4799-92f0-fa1e904b259a,2025-11-04 15:03:50,500,Internal Server Error,/api/pdf/download
05ac99de-29b8-4062-9d1b-ceb74c95af21,2025-12-05 21:44:37,500,Internal Server Error,/api/pdf/download
22ac67f1-bc4d-46a6-90cf-5f74048b6891,2025-09-27 10:41:37,500,Internal Server Error,/api/pdf/download
